"","Age","0.02","0.05","0.25","0.5","0.75","0.95","0.98"
"1",0,8.42553603276902,9.13756077964337,11.1322493996345,12.8249511236142,14.8303820490183,18.4057907124496,20.2121035783961
"2",0.1,10.1105780974943,11.1102281687187,13.7051920451222,15.6980022019736,17.8499057185625,21.231633370814,22.7596990012491
"3",0.2,10.6303752524275,11.6990360362464,14.3789807769266,16.356316438396,18.4237289278831,21.5501723256581,22.9197044724155
"4",0.3,10.9667632435609,12.0659078167269,14.757777304565,16.6926054424202,18.6755106215679,21.6065460719394,22.8676768219525
"5",0.4,11.1965330024286,12.3067991680645,14.9843481832278,16.8773016396324,18.7936566340142,21.5879570868681,22.7776286979792
"6",0.5,11.3528016865159,12.463449623188,15.1187852246477,16.9788907907496,18.8494559818917,21.5570644510974,22.7033525201973
"7",0.6,11.4572228836754,12.5615753634835,15.1928706760051,17.0295489977032,18.871787804103,21.5308875404411,22.6542125591357
"8",0.7,11.5370202585289,12.6288333007526,15.2306713208463,17.0471120373401,18.8692971194989,21.4998497497349,22.6112470925679
"9",0.8,11.6104204722755,12.6836059420577,15.247554206187,17.0423757205485,18.8464192341022,21.456422923305,22.5609770240298
"10",0.9,11.6875950153531,12.7365779049008,15.2529963819004,17.0222991411599,18.8064517966835,21.3969344753074,22.4962668754087
"11",1,11.7719052135386,12.7923814151216,15.2525730472829,16.9916688063529,18.7524081176195,21.3203884677601,22.4139847066594
"12",1.1,11.8593193538603,12.8494820488256,15.2486511887391,16.954052608654,18.6879537368166,21.2288575899152,22.3149747258382
"13",1.2,11.9463731599804,12.9062287920346,15.2426752715503,16.9120596630942,18.6160792212513,21.1245665441792,22.2006942094785
"14",1.3,12.0310836182293,12.9617092145153,15.2357193136396,16.8676140112919,18.5390805502142,21.0094655262485,22.0726289088184
"15",1.4,12.1124542770794,13.0155154515275,15.2286062941196,16.8221608255383,18.4587644955279,20.8853340578605,21.9323312389145
"16",1.5,12.190224387205,13.0676429796194,15.2220085866376,16.7768148246237,18.3765976133717,20.7538883571319,21.7815058211134
"17",1.6,12.2654202067501,13.1189402687363,15.2167117702674,16.7325624041695,18.2939219441096,20.6171813316532,21.6225548286202
"18",1.7,12.3394307359016,13.1704822806339,15.2134612139821,16.6902421106669,18.211911997318,20.4772590611476,21.458017307071
"19",1.8,12.4133572396697,13.2231149622006,15.2128315989177,16.6505130032437,18.1315288363625,20.335885364011,21.2901208813664
"20",1.9,12.4880735713536,13.2775033693622,15.215265565582,16.6138951435096,18.053563216817,20.1945813822024,21.1208149257996
"21",2,12.5642761514432,13.3341713388722,15.2211037599534,16.5808002932052,17.9786687386137,20.0546588342065,20.9518007849378
"22",2.1,12.6425208602242,13.3935309859852,15.2306072706604,16.5515549376197,17.907387074486,19.9172464522074,20.7845566026921
