"","Age","0.02","0.05","0.25","0.5","0.75","0.95","0.98"
"1",0,40.2175977598846,41.4038960374698,44.6482067100771,47.3561763787451,50.5636385413597,56.4159366122632,59.4954869425722
"2",0.1,46.9463621046363,48.2456672318424,51.7195094422987,54.5278746867108,57.744993205037,63.3076205110715,66.0763471595712
"3",0.2,50.5091167989122,51.8566471241462,55.423961480222,58.2690565563955,61.484303508306,66.9299465201055,69.5856446910967
"4",0.3,53.2215407021879,54.6012738387929,58.2307426644394,61.1007291526235,64.31699538212,69.6969389898774,72.2891651315802
"5",0.4,55.4154145547046,56.8209547922314,60.5006664488093,63.3917968206385,66.6116988517633,71.9490130299386,74.4984376983491
"6",0.5,57.2445185535245,58.6745708448655,62.4022157793094,65.3140366414481,68.5388569031847,73.8409836798479,76.3540533754653
"7",0.6,58.793651357066,60.2497592279172,64.0281621704902,66.9618247036213,70.1919963655369,75.4585201335279,77.9349383810797
"8",0.7,60.1159867580593,61.6015926114758,65.4368411251749,68.3943986863696,71.629740415136,76.8557492313303,79.2916537439416
"9",0.8,61.2476802624069,62.7677111460549,66.6682741504422,69.6523362262697,72.8921910585609,78.0701132453814,80.4598015215146
"10",0.9,62.2244944352798,63.7839833954199,67.7581093865258,70.770932573653,74.0144284630122,79.1375301922753,81.4764758711494
"11",1,63.0873070953596,64.689717388048,68.7424377963069,71.7849408734052,75.0312022984124,80.0965340152818,82.3837159067145
"12",1.1,63.8698226925025,65.5170600631715,69.650333080319,72.7222027782185,75.9702868787854,80.9776793887348,83.2145233254269
"13",1.2,64.5999452709929,66.2923863332423,70.5052923913717,73.6051170289082,76.8539706623723,81.8051501448873,83.9946387321491
"14",1.3,65.3014208965134,67.0378769603416,71.3267096922821,74.4520785442492,77.7005177350265,82.5985040640241,84.7445874782413
"15",1.4,65.9948755468172,67.7725400469813,72.1308674148231,75.2784536926415,78.5251532734299,83.373840462762,85.4810480527001
"16",1.5,66.6984580459421,68.5128765178357,72.9316252544812,76.0972641211658,79.3407510800511,84.1446065597041,86.2177922229514
"17",1.6,67.4255607838287,69.2709083909295,73.7389666791737,76.9179299369073,80.1566664568209,84.9204459167745,86.9645262566868
"18",1.7,68.1758976129171,70.0462406723085,74.5527521535653,77.7407002327272,80.9734760035464,85.7018135903635,87.7212733175496
"19",1.8,68.9455308720614,70.8352588824391,75.3703194731166,78.5635345965918,81.7895345266017,86.4868682184798,88.4857176947822
"20",1.9,69.7306830659061,71.6345784645451,76.189271349516,79.3846143238091,82.603369768008,87.2739734824595,89.255839551019
"21",2,70.5277458393609,72.4410339623196,77.0074398515994,80.2023078667759,83.4136569524927,88.0616734573708,90.0298741626852
"22",2.1,71.3332911732794,73.2516712420593,77.8228572383447,81.0151429734155,84.2191981369309,88.848671585223,90.8062783719597
"23",2.2,72.1440820076189,74.063740954883,78.6337318018419,81.8217841335438,85.0189054432998,89.633812956248,91.5837031171605
"24",2.3,72.9570803437959,74.8746919348759,79.4384275275617,82.6210141217999,85.8117873118482,90.4160693989305,92.3609709236469
"25",2.4,73.7694518478127,75.6821638555404,80.2354467248153,83.4117187438693,86.5969371387602,91.1945269674784,93.1370574848124
"26",2.5,74.5786261933065,76.4840660717998,81.0235300850698,84.19297804765,87.3735922698718,91.9683513135488,93.9109990941101
"27",2.6,75.3825276470175,77.2788970489407,81.8020669850301,84.9644369639132,88.1413781466082,92.7366942460683,94.6816011806072
"28",2.7,76.1793752310109,78.065425966083,82.5706584851736,85.72591020959,88.9000483642647,93.4987784234158,95.4477175342753
"29",2.8,76.9675852240666,78.8425522390332,83.3289377279862,86.4772219875134,89.6493771310656,94.2539172010069,96.2083399998477
"30",2.9,77.7457557009599,79.6092940838806,84.0765666665314,87.2182052649118,90.3891567899891,95.0014992299742,96.9625731286282
"31",3,78.5126487822244,80.3647763659676,84.8132330442209,87.9487011469626,91.119195726423,95.7409761901024,97.7096143349818
"32",3.1,79.2671719405458,81.1082183250344,85.5386475944067,88.6685583055343,91.8393165719173,96.4718529274855,98.4487382387009
"33",3.2,80.0083593268231,81.8389216028987,86.2525414579987,89.3776324578168,92.5493546512527,97.1936794532587,99.1792842168186
"34",3.3,80.735353750479,82.5562588458594,86.9546638115218,90.0757858901237,93.2491566311624,97.9060443981789,99.9006464465573
"35",3.4,81.4473896923914,83.2596630349829,87.6447796936682,90.7628870223645,93.938579337213,98.6085696174003,100.612265904034
"36",3.5,82.1438256370039,83.9486590942876,88.3226999658815,91.4388406982726,94.6175227803419,99.3009532014516,101.313680213502
"37",3.6,82.8249837027604,84.6235930146288,88.988849993549,92.1041360500303,95.2865374499737,99.9838132708958,102.005523639257
"38",3.7,83.4919652551481,85.2854809814906,89.6441646450483,92.7597476788204,95.9467128753971,100.658529865287,102.689340737584
"39",3.8,84.1458201769128,85.9352950136984,90.2895414881237,93.4066113723196,96.5990953383088,101.326432163929,103.366622766906
"40",3.9,84.7875248534253,86.5739433234832,90.9258253431061,94.0456096773878,97.2446723104953,101.988776564062,104.03878114809
"41",4,85.4179894559187,87.2022760562811,91.5538124247495,94.6775762462087,97.8843777422201,102.646754085797,104.707155881452
"42",4.1,86.0380642998831,87.8210903540382,92.174254040249,95.3032997260754,98.5190968408563,103.301497276526,105.373023541661
"43",4.2,86.6485454269456,88.4311348417059,92.7878599000838,95.9235272508123,99.1496704039141,103.954086671538,106.037604893617
"44",4.3,87.2501795314893,89.0331136199865,93.3953010900233,96.5389675833041,99.7768987620961,104.605556864963,106.702072175271
"45",4.4,87.8436683316966,89.6276898338193,93.9972127455517,97.1502939513489,100.401545380777,105.256902243056,107.367556096354
