"","Height","Mu","Sigma","Lambda","Sex"
"57",45.56,3.33496140848107,0.207053237912289,0.291789036388028,"Male"
"58",45.57,3.33622896042078,0.207063042007868,0.29192687405758,"Male"
"59",45.58,3.33749725345585,0.20707282211637,0.292064741049197,"Male"
"60",45.59,3.33876628824522,0.207082578200478,0.292202637364549,"Male"
"61",45.6,3.34003606544817,0.207092310222847,0.292340563005328,"Male"
"62",45.61,3.3413065857247,0.207102018146115,0.292478517973203,"Male"
"63",45.62,3.34257784973515,0.207111701932895,0.292616502269859,"Male"
"64",45.63,3.34384985814038,0.207121361545778,0.29275451589698,"Male"
"65",45.64,3.34512261160177,0.207130996947334,0.29289255885625,"Male"
"66",45.65,3.34639611078121,0.207140608100109,0.293030631149353,"Male"
"67",45.66,3.34767035634099,0.207150194966629,0.293168732777983,"Male"
"68",45.67,3.34894534894399,0.207159757509398,0.293306863743827,"Male"
"69",45.68,3.3502210892535,0.207169295690895,0.293445024048583,"Male"
"70",45.69,3.35149757793345,0.207178809473581,0.293583213693931,"Male"
"71",45.7,3.35277481564817,0.207188298819893,0.293721432681568,"Male"
"72",45.71,3.35405280306243,0.207197763692246,0.293859681013196,"Male"
"73",45.72,3.35533154084154,0.207207204053033,0.293997958690514,"Male"
"74",45.73,3.35661102965144,0.207216619864626,0.294136265715206,"Male"
"75",45.74,3.35789127015829,0.207226011089374,0.294274602088994,"Male"
"76",45.75,3.35917226302897,0.207235377689606,0.294412967813569,"Male"
"77",45.76,3.36045400893083,0.207244719627628,0.294551362890631,"Male"
"78",45.77,3.3617365085316,0.207254036865723,0.294689787321894,"Male"
"79",45.78,3.36301976249959,0.207263329366154,0.294828241109065,"Male"
"80",45.79,3.36430377150367,0.207272597091163,0.294966724253842,"Male"
"81",45.8,3.36558853621306,0.207281840002968,0.295105236757944,"Male"
"82",45.81,3.36687405729756,0.207291058063767,0.295243778623085,"Male"
"83",45.82,3.36816033542747,0.207300251235736,0.295382349850973,"Male"
"84",45.83,3.36944737127359,0.207309419481029,0.295520950443323,"Male"
"85",45.84,3.37073516550719,0.207318562761779,0.295659580401854,"Male"
"86",45.85,3.37202371880004,0.207327681040097,0.295798239728284,"Male"
"87",45.86,3.3733130318244,0.207336774278073,0.295936928424335,"Male"
"88",45.87,3.37460310525313,0.207345842437775,0.29607564649172,"Male"
"89",45.88,3.37589393975941,0.20735488548125,0.296214393932173,"Male"
"90",45.89,3.37718553601706,0.207363903370523,0.296353170747411,"Male"
"91",45.9,3.37847789470038,0.207372896067598,0.296491976939161,"Male"
"92",45.91,3.37977101648412,0.207381863534457,0.29663081250915,"Male"
"93",45.92,3.38106490204353,0.207390805733063,0.296769677459112,"Male"
"94",45.93,3.38235955205443,0.207399722625355,0.296908571790771,"Male"
"95",45.94,3.38365496719301,0.207408614173251,0.29704749550587,"Male"
"96",45.95,3.38495114813616,0.207417480338649,0.297186448606129,"Male"
"97",45.96,3.38624809556101,0.207426321083425,0.297325431093301,"Male"
"98",45.97,3.38754581014545,0.207435136369434,0.297464442969107,"Male"
"99",45.98,3.38884429256771,0.207443926158511,0.297603484235294,"Male"
"100",45.99,3.39014354350655,0.207452690412466,0.297742554893603,"Male"
"101",46,3.39144356364128,0.207461429093094,0.29788165494577,"Male"
"102",46.01,3.39274435365166,0.207470142162163,0.298020784393542,"Male"
"103",46.02,3.39404591421796,0.207478829581423,0.298159943238666,"Male"
"104",46.03,3.39534824602096,0.207487491312604,0.298299131482887,"Male"
"105",46.04,3.39665134974194,0.207496127317411,0.298438349127956,"Male"
"106",46.05,3.39795522606267,0.207504737557533,0.298577596175622,"Male"
"107",46.06,3.39925987566542,0.207513321994633,0.298716872627641,"Male"
"108",46.07,3.40056529923308,0.207521880590359,0.29885617848575,"Male"
"109",46.08,3.40187149744883,0.207530413306332,0.29899551375172,"Male"
"110",46.09,3.40317847099646,0.207538920104157,0.299134878427307,"Male"
"111",46.1,3.40448622056038,0.207547400945415,0.299274272514255,"Male"
"112",46.11,3.40579474682528,0.207555855791669,0.299413696014337,"Male"
"113",46.12,3.40710405047646,0.207564284604457,0.299553148929315,"Male"
"114",46.13,3.40841413219978,0.207572687345302,0.299692631260945,"Male"
"115",46.14,3.40972499268156,0.207581063975703,0.299832143010989,"Male"
"116",46.15,3.41103663260852,0.207589414457137,0.299971684181225,"Male"
"117",46.16,3.4123490526681,0.207597738751063,0.300111254773407,"Male"
"118",46.17,3.41366225354807,0.20760603681892,0.300250854789309,"Male"
"119",46.18,3.4149762359367,0.207614308622122,0.300390484230708,"Male"
"120",46.19,3.41629100052292,0.207622554122069,0.300530143099367,"Male"
"121",46.2,3.41760654799596,0.207630773280135,0.300669831397072,"Male"
