"","Age","Mu","Sigma","Lambda","Sex"
"55",0.54,7.4771751723017,0.177527391768359,0.698946916790964,"Male"
"56",0.55,7.51470838666602,0.177036606060236,0.708096808411657,"Male"
"57",0.56,7.55152285202026,0.176569702323453,0.71693020210206,"Male"
"58",0.57,7.58763325293551,0.176126122636664,0.725453176945477,"Male"
"59",0.58,7.62306133815909,0.17570487316657,0.733674684986499,"Male"
"60",0.59,7.65783177211805,0.17530478057956,0.741604863435953,"Male"
"61",0.6,7.69196826646196,0.174924727434813,0.749253460814146,"Male"
"62",0.61,7.72549360545173,0.174563650028512,0.756629847257691,"Male"
"63",0.62,7.75842969654996,0.174220534793106,0.763743035085732,"Male"
"64",0.63,7.79079761748331,0.173894414989933,0.770601697934086,"Male"
"65",0.64,7.82261766007299,0.173584367667767,0.777214188578949,"Male"
"66",0.65,7.85390937110271,0.173289510862773,0.783588555558961,"Male"
"67",0.66,7.88469159046774,0.173009001018005,0.789732558693511,"Male"
"68",0.67,7.91498248682392,0.172742030602758,0.795653683586391,"Male"
"69",0.68,7.94479959093378,0.172487825914092,0.801359155195998,"Male"
"70",0.69,7.97415982689411,0.17224564504476,0.806855950543431,"Male"
"71",0.7,8.00307954140332,0.172014776003106,0.812150810626981,"Male"
"72",0.71,8.0315745312229,0.171794534972165,0.817250251601236,"Male"
"73",0.72,8.05966006896326,0.171584264696188,0.82216057527789,"Male"
"74",0.73,8.08735092732291,0.171383332984175,0.826887878996307,"Male"
"75",0.74,8.11466140189011,0.171191131320767,0.831438064911378,"Male"
"76",0.75,8.14160533261142,0.171007073575874,0.835816848739845,"Male"
"77",0.76,8.16819612402394,0.170830594805207,0.840029768002901,"Male"
"78",0.77,8.19444676433378,0.170661150134479,0.844082189801753,"Male"
"79",0.78,8.22036984342395,0.170498213720816,0.847979318157118,"Male"
"80",0.79,8.24597756986399,0.170341277785448,0.851726200942599,"Male"
"81",0.8,8.2712817869876,0.170189851712221,0.855327736439759,"Male"
"82",0.81,8.2962939881016,0.170043461207002,0.858788679539421,"Male"
"83",0.82,8.3210253308807,0.169901647513388,0.862113647613548,"Male"
"84",0.83,8.34548665100644,0.169763966680714,0.865307126076793,"Male"
"85",0.84,8.36968847509236,0.169629988880372,0.868373473660183,"Male"
