"","Height","0.02","0.05","0.25","0.5","0.75","0.95","0.98"
"49",49.8,2.4812957922,2.7387647954919,3.41742141211859,3.94785055058188,4.52883342976406,5.45754107113154,5.88299724640817
"50",49.9,2.49150149407797,2.75015002303662,3.43176919278085,3.9643721932766,4.54760220819975,5.47963204689065,5.90650675038299
"51",50,2.50179765893899,2.76163022486449,3.44622056155692,3.98100135994832,4.56648049730571,5.50183156370962,5.93012292215015
"52",50.1,2.5121854518478,2.77320653763886,3.46077653648295,3.99773894468545,4.58546903483241,5.52414008177023,5.95384608790295
"53",50.2,2.52266605204282,2.78488011075404,3.4754381444216,4.01458584741964,4.60456856128478,5.54655805956708,5.97767657033023
"54",50.3,2.53324065308874,2.79665210645742,3.49020642111948,4.03154297394705,4.62377981991594,5.56908595387835,6.00161468858354
"55",50.4,2.54391046302984,2.808523699972,3.50508241126461,4.04861123594967,4.64310355672132,5.59172421973778,6.02566075824613
"56",50.5,2.55467670454422,2.82049607961942,3.52006716854412,4.06579155101697,4.66254052043341,5.61447331040847,6.0498150913041
"57",50.6,2.56554061509841,2.83257044694299,3.53516175570143,4.08308484266721,4.6820914625167,5.63733367735741,6.07407799611892
"58",50.7,2.57650344710253,2.84474801683101,3.55036724459351,4.10049204036882,4.70175713716289,5.6603057702315,6.09844977740179
"59",50.8,2.58756646806626,2.85703001764042,3.56568471624804,4.11801407956203,4.72153830128697,5.68339003683529,6.12293073619035
"60",50.9,2.59873096075502,2.86941769132041,3.58111526092028,4.13565190168026,4.74143571452339,5.70658692310991,6.14752116982701
"61",51,2.60999805437956,2.88191211890924,3.59665979169194,4.15340626097689,4.76144994065554,5.72989666945812,6.17222116714932
"62",51.1,2.62136799433149,2.89451346616721,3.61231823999991,4.17127689179125,4.78158049261851,5.75331843529264,6.19702972883034
"63",51.2,2.63284072829839,2.90722159013765,3.62809020552379,4.18926318366865,4.80182652832067,5.77685101578466,6.22194548953648
"64",51.3,2.64441619759363,2.92003634040108,3.6439752783123,4.20736451549257,4.82218719447365,5.800493195158,6.24696707348883
"65",51.4,2.65609433716113,2.93295755910147,3.65997303887892,4.22558025564251,4.84266162682212,5.82424374703552,6.27209309486196
"66",51.5,2.66787507540055,2.94598508078731,3.67608305810085,4.24390976194861,4.86324895016506,5.84810143457171,6.29732215796756
"67",51.6,2.67975833398975,2.9591187322505,3.69230489711677,4.26235238164557,4.88394827837649,5.87206501058435,6.3226528574368
"68",51.7,2.69174402770533,2.97235833236376,3.7086381072243,4.28090745132678,4.90475871442679,5.89613321768692,6.34808377840316
"69",51.8,2.70383206424117,2.98570369191661,3.72508222977702,4.29957429689865,4.92567935040447,5.92030478842111,6.37361349668512
"70",51.9,2.71602234402461,2.99915461344942,3.74163679608053,4.31835223353429,4.94670926753745,5.94457844538866,6.39924057896785
"71",52,2.72831476003081,3.01271089108617,3.75830132728834,4.33724056562769,4.96784753621519,5.96895290138373,6.42496358298505
"72",52.1,2.74070919759502,3.02637231036557,3.77507533429709,4.35623858674751,4.98909321601043,5.99342685952468,6.45078105769988
"73",52.2,2.75320553422284,3.04013864807076,3.79195831764124,4.37534557959092,5.01044535570131,6.01799901338571,6.4766915434853
"74",52.3,2.7658036393987,3.05400967205758,3.80894976738748,4.39456081593746,5.0319029932935,6.04266804712816,6.50269357230373
"75",52.4,2.77850337439221,3.06798514108132,3.82604916302839,4.41388355660259,5.05346515604216,6.0674326356311,6.52878566788555
"76",52.5,2.79130459206297,3.08206480462238,3.8432559733761,4.43331305139163,5.07513086047437,6.09229144462202,6.55496634590721
"77",52.6,2.8042071366633,3.09624840271033,3.86056965645513,4.45284853905314,5.09689911241099,6.11724313080623,6.58123411416761
"78",52.7,2.81721084363929,3.11053566574675,3.87798965939497,4.47248924723244,5.11876890698872,6.14228634199582,6.60758747276353
"79",52.8,2.83031553943014,3.12492631432688,3.8955154183224,4.4922343924251,5.14073922868203,6.16741971723798,6.63402491426385
"80",52.9,2.84352104126598,3.13942005906026,3.91314635825351,4.51208317993055,5.16280905132525,6.19264188694265,6.66054492388278
"81",53,2.85682715696395,3.15401660039003,3.93088189298544,4.53203480380543,5.18497733813434,6.21795147300923,6.68714597965127
"82",53.1,2.87023368472244,3.16871562841085,3.94872142498728,4.55208844681651,5.20724304172792,6.24334708895145,6.71382655258626
"83",53.2,2.88374041291435,3.1835168226865,3.96666434529167,4.57224328039447,5.22960510414929,6.26882734002279,6.74058510685984
"84",53.3,2.8973471198784,3.19841985206567,3.98471003338525,4.59249846458664,5.25206245688708,6.29439082333933,6.76742009996509
"85",53.4,2.91105357370932,3.21342437449738,4.00285785709951,4.61285314801041,5.27461402089639,6.32003612800231,6.79432998288117
"86",53.5,2.92485953204659,3.22853003684531,4.02110717250131,4.63330646780637,5.29725870661956,6.34576183521935,6.82131320023641
"87",53.6,2.93876474186164,3.24373647470094,4.03945732378277,4.65385754959088,5.31999541400592,6.37156651842348,6.84836819046841
"88",53.7,2.95276893924421,3.25904331219642,4.05790764315178,4.67450550740947,5.34282303253231,6.39744874339208,6.87549338598353
"89",53.8,2.96687184918725,3.27445016181644,4.076457450722,4.69524944368972,5.36574044122261,6.42340706836374,6.90268721331353
"90",53.9,2.9810731853706,3.28995662420913,4.09510605440253,4.71608844919376,5.38874650866664,6.44944004415311,6.92994809326951
"91",54,2.99537264994374,3.30556228799668,4.1138527497879,4.73702160297125,5.41184009303917,6.4755462142649,6.95727444109426
"92",54.1,3.00976993330764,3.32126672958528,4.13269682004806,4.75804797231228,5.43502004211846,6.50172411500628,6.98466466661235
"93",54.2,3.02426471389522,3.33706951297428,4.15163753581797,4.77916661269973,5.45828519330388,6.52797227559684,7.01211717437688
"94",54.3,3.03885665795137,3.35297018956513,4.17067415508751,4.80037656776211,5.48163437363346,6.55428921827743,7.03963036381457
"95",54.4,3.05354541931163,3.36896829796947,4.1898059230911,4.82167686922572,5.50506639980044,6.58067345841651,7.0672026293673
"96",54.5,3.06833063918081,3.38506336381757,4.20903207219815,4.84306653686784,5.52858007817032,6.60712350461593,7.09483236063261
"97",54.6,3.08321194591,3.40125489956542,4.22835182180241,4.86454457846838,5.55217420479578,6.6336378588128,7.12251794249925
"98",54.7,3.09818895477364,3.41754240430244,4.24776437821246,4.88610998976278,5.57584756543237,6.66021501638104,7.15025775528173
"99",54.8,3.11326126774569,3.43392536355849,4.26726893454191,4.90776175439417,5.59959893555295,6.68685346623016,7.1780501748512
"100",54.9,3.12842847327524,3.45040324911067,4.2868646705996,4.92949884386553,5.62342708036137,6.71355169090167,7.20589357276321
"101",55,3.14369014606184,3.46697551879033,4.30655075278039,4.95132021749203,5.64733075480594,6.74030816666392,7.23378631638309
"102",55.1,3.15904584683021,3.48364161628966,4.32632633395573,4.97322482235302,5.6713087035917,6.76712136360415,7.26172676900748
"103",55.2,3.1744951221049,3.50040097096855,4.34619055336484,4.99521159324426,5.69535966119242,6.79398974571877,7.28971328998355
"104",55.3,3.19003750398451,3.51725299766141,4.36614253650602,5.01727945262995,5.71948235186166,6.82091177100102,7.31774423482455
"105",55.4,3.20567250991564,3.53419709648393,4.38618139502793,5.03942731059447,5.74367548964279,6.847885891526,7.34581795532181
