"","Age","0.02","0.05","0.25","0.5","0.75","0.95","0.98"
"1",0,1.59419453879651,1.73026262082856,2.16782622604888,2.62741598577682,3.32986225607145,5.38421758391022,7.25197628872133
"2",0.1,2.89883970119453,3.17312335144929,3.96025377820005,4.64861504982687,5.48681109400771,7.03799745150758,7.84768897834711
"3",0.2,3.55696536249083,3.90268683943561,4.84231202261478,5.60599841800593,6.47230033160818,7.92194945873883,8.61261556042495
"4",0.3,4.05966623443483,4.4581691957,5.50121766525452,6.31024335979763,7.1912048043988,8.59004688907199,9.22755925236271
"5",0.4,4.46489615661053,4.90472153873799,6.02513824531707,6.86685259104934,7.75964850234662,9.13285143209914,9.74261865863305
"6",0.5,4.79497288244341,5.26831231189062,6.45076791419241,7.31955809689381,8.22504024427677,9.58943013561572,10.1854198401201
"7",0.6,5.06148627422126,5.56283347999886,6.79812966667972,7.69196826646196,8.61267513040988,9.98147105813179,10.5730818170594
"8",0.7,5.27754531334664,5.80282789300408,7.08491822821031,8.00307954140332,8.9414983943012,10.3244165543935,10.9180417870319
"9",0.8,5.46039336808467,6.00623206201439,7.32991909210317,8.2712817869876,9.22843180056922,10.6308010156114,11.2300734132858
"10",0.9,5.62378246156544,6.18709374210273,7.54722093476836,8.51000351371027,9.48557575952075,10.9095046114097,11.516202506765
"11",1,5.7785348357736,6.35634494860419,7.74746974357581,8.72918654798469,9.7217195168818,11.166833023786,11.7813881673541
"12",1.1,5.93332433077383,6.52268825832561,7.93896012011168,8.93643901803111,9.94345206451156,11.4073282496391,12.029106482987
"13",1.2,6.09516864690053,6.69314197222357,8.12828808420666,9.13772514972988,10.1558403563115,11.6343205613507,12.2618042483619
"14",1.3,6.26742093875727,6.87125069168875,8.31917092232213,9.33666176104613,10.3622308849424,11.8504866407783,12.4817814567125
"15",1.4,6.44854520334502,7.05600841434901,8.51176975824324,9.53414792753369,10.5642027722799,12.0582865906417,12.6918363352688
"16",1.5,6.63668873704521,7.24607447064053,8.70588325625116,9.73071466189596,10.7629734307912,12.2598494378521,12.8944565908067
"17",1.6,6.83020792256304,7.44025620984362,8.90131672419941,9.92680539447226,10.9595823984025,12.4570039272889,13.0917808242824
"18",1.7,7.02766516251984,7.63750799748025,9.09789097509134,10.1227945919826,11.1549212883368,12.6513265566131,13.2856545849403
"19",1.8,7.22781497930105,7.836922006896,9.29544612926572,10.3190015827747,11.3497580653246,12.8441811900714,13.4776764490923
"20",1.9,7.42958411573189,8.03771442077915,9.49384224764616,10.5157010171221,11.5447570633887,13.0367522396374,13.6692365157594
"21",2,7.63205263552214,8.23920997336285,9.69295219585636,10.7131216291354,11.7404837290547,13.2300581458339,13.861533612076
"22",2.1,7.83450607314327,8.44083343275224,9.89253369510802,10.9112542764106,11.9371631533053,13.4246624983648,14.0552743977065
"23",2.2,8.03638724950085,8.64208195034056,10.0922415878959,11.109885467694,12.1347301663349,13.6207405994559,14.2507444935766
"24",2.3,8.23719109385046,8.84249906921333,10.2917592108234,11.3088146615927,12.3331148170739,13.818434111841,14.4481826626129
"25",2.4,8.43645374009845,9.04166733116858,10.4907992991338,11.507860848583,12.5322545215481,14.0178709816692,14.647803918521
"26",2.5,8.63374660000892,9.23920246248764,10.6890995775054,11.7068599520777,12.732093878497,14.219169681391,14.8498059439453
"27",2.6,8.82867114787225,9.43474829312503,10.8864189722053,11.9056626647837,12.9325846647388,14.4224431673355,15.0543749989391
"28",2.7,9.02085427049227,9.62797226261867,11.0825343236382,12.1041326334989,13.1336859669243,14.6278025831142,15.2616913854553
"29",2.8,9.20994407702781,9.81856140301553,11.2772375049374,12.3021449253839,13.3353644210056,14.8353607511322,15.4719345449019
"30",2.9,9.39560712084483,10.0062195241241,11.4703330844315,12.4995844653565,13.5375937694214,15.0452339194131,15.6852859251172
"31",3,9.57768232367349,10.1907876229034,11.6616687012868,12.6963056821927,13.7402375421183,15.2573034483545,15.9016362405298
"32",3.1,9.75633576102357,10.3723653447673,11.8511669049911,12.8920937351179,13.9429331976596,15.470978240183,16.1202929486084
"33",3.2,9.93175925776412,10.5510743474365,12.0387632217827,13.0867401959241,14.1453177167713,15.6856561284007,16.340547713061
"34",3.3,10.1041317394287,10.727028048498,12.2243980040452,13.2800519564215,14.3470548672555,15.9007796916457,16.561744963754
"35",3.4,10.2736220692703,10.9003338972303,12.4080167426702,13.4718497087765,14.5478314972665,16.1158288184649,16.7832726951598
"36",3.5,10.4403912543971,11.0710951019878,12.5895701983047,13.6619666160733,14.7473544783484,16.3303147246633,17.004555102255
"37",3.6,10.604594132509,11.239411914138,12.7690143916957,13.850247144579,14.9453481816207,16.5437751491417,17.2250467034088
"38",3.7,10.7663806303524,11.4053825494703,12.9463104836771,14.0365460340891,15.1415523954933,16.755770517136,17.444227681861
"39",3.8,10.9258966685826,11.5691038123232,13.1214245682888,14.2207273868034,15.3357206123545,16.9658809067023,17.6616002381873
"40",3.9,11.0832847743516,11.7306714752507,13.2943273971456,14.4026638583059,15.5276186259703,17.1737036890045,17.8766857909062
"41",4,11.2386787742624,11.8901791097421,13.4650034307557,14.5822531263966,15.7170486574871,17.3788890620857,18.0890654471621
"42",4.1,11.3921115227134,12.0476948626263,13.6335990420548,14.7596911348133,15.9042521496042,17.581736663264,18.2990607838097
"43",4.2,11.5435295474275,12.2032600862982,13.8003827303513,14.9354053728059,16.0898160010401,17.7830628066455,18.5075846479166
"44",4.3,11.6928726280128,12.3569066688309,13.9656085225708,15.1098065187791,16.2743088475739,17.9836649163448,18.715531219935
"45",4.4,11.8400756467303,12.5086574897581,14.1295127565111,15.2832823992001,16.4582719971398,18.1843077963708,18.9237602160422
"46",4.5,11.9850673453068,12.6585258381693,14.2923149258334,15.456199719132,16.6422219691052,18.3857272151784,19.1331008760484
"47",4.6,12.1277686615942,12.8065144517985,14.4542182644424,15.6289056267309,16.8266529684591,18.5886335765464,19.3443561023627
"48",4.7,12.2680907125301,12.9526142335802,14.6154101040071,15.8017291308897,17.0120393007647,18.7937156657631,19.5583067327063
"49",4.8,12.4059324703147,13.0968026865281,14.7760620309606,15.9749823886161,17.1988377352485,19.0016444664291,19.7757159372602
"50",4.9,12.5411781616709,13.2390420940915,14.9363298628328,16.148961876582,17.3874898250281,19.2130770493026,19.9973337386194
"51",5,12.6736944049826,13.3792774609729,15.0963534579398,16.3239494593554,17.5784241949929,19.4286605402493,20.223901660015
"52",5.1,12.803327086749,13.5174342185727,15.256256367387,16.5002133653685,17.7720588096335,19.649036180082,20.4561575143949
"53",5.2,12.9299245462157,13.6534360005936,15.4161503019048,16.6780030372359,17.9687859290521,19.8748095940981,20.6947993359159
"54",5.3,13.053704205115,13.7874853517959,15.5762051641254,16.8574676703978,18.1687354631165,20.1060850983453,20.9399213137178
"55",5.4,13.1751687845908,13.9200016236587,15.7366389026181,17.0386825026923,18.3718378786649,20.3425814935775,21.1911519146449
"56",5.5,13.2948203652756,14.0514033308223,15.8976667420156,17.2217175831046,18.5780150688738,20.5840025720597,21.448101347898
"57",5.6,13.4131579767427,14.1821065414553,16.0595016179941,17.4066397444019,18.7871839556538,20.8300432193428,21.7103687724199
"58",5.7,13.5306819540063,14.3125284001258,16.2223557283174,17.5935127979109,18.9992553461944,21.0803863851092,21.9775384890077
"59",5.8,13.6478975206649,14.443090028376,16.3864418200338,17.7823977133902,19.2141330233809,21.334700645716,22.2491768749796
"60",5.9,13.7653176638055,14.5742188522708,16.5519742309167,17.9733527853994,19.4317130585357,21.5926383342696,22.5248300338613
"61",6,13.8834653480867,14.7063503924455,16.7191696979623,18.1664337873775,19.6518833392104,21.8538342236626,22.8040221440346
"62",6.1,14.0028751030598,14.8399295418537,16.8882479418418,18.3616941145217,19.8745233078706,22.1179047548488,23.0862544983818
"63",6.2,14.1240940079364,14.9754113488615,17.0594320334051,18.5591849164594,20.099503909428,22.3844478070456,23.3710052320395
"64",6.3,14.2476820910901,15.1132613181338,17.2329485464928,18.7589552205972,20.3266877466986,22.6530430086265,23.6577297375653
"65",6.4,14.3742121571122,15.2539552385237,17.4090275002657,18.9610520468912,20.5559294431505,22.9232525875173,23.9458617664877
"66",6.5,14.5042599741659,15.3979702698039,17.5878962854038,19.1655168906439,20.7870751583171,23.1946260801336,24.2348206186646
"67",6.6,14.6380688871723,15.5454793969514,17.7695661648311,19.3722538623963,21.0199268802603,23.4668284283119,24.5242172605671
"68",6.7,14.7754507498194,15.6962619433431,17.9537730967244,19.5809978943356,21.2542432195399,23.739696810885,24.8139380095787
"69",6.8,14.9161955925814,15.8500775990882,18.1402421140694,19.7914820562836,21.4897925333039,24.0130994327548,25.1039108234408
"70",6.9,15.0600993578659,16.0066919260778,18.3287054018756,20.0034487075625,21.7263557176542,24.2869238001542,25.3940865870548
"71",7,15.2069628729038,16.1658756304566,18.5189019009344,20.2166490511045,21.9637255158359,24.5610753895462,25.6844374293082
"72",7.1,15.3565909080663,16.3274039096597,18.7105769503609,20.430842714975,22.2017058731991,24.8354764781221,25.9749552905666
"73",7.2,15.5087913233257,16.491055873657,18.9034819659366,20.6457973592154,22.4401113393527,25.1100651426138,26.2656507512712
"74",7.3,15.6633743050859,16.656614039596,19.0973741514257,20.8612883061979,22.6787665177615,25.3847944311651,26.5565521290404
"75",7.4,15.8201516949501,16.8238638985001,19.2920162400616,21.0770981927469,22.9175055626286,25.6596317112575,26.8477048493245
"76",7.5,15.9789364112873,16.9925935522026,19.4871762635523,21.2930166425033,23.156171722813,25.9345581959879,27.1391710939718
"77",7.6,16.1395419636154,17.1625934181632,19.6826273460124,21.5088399570543,23.3946169322727,26.2095686505783,27.4310297321279
