"","Age","0.02","0.05","0.25","0.5","0.75","0.95","0.98"
"1",0,1.79409505163561,1.95157114978244,2.39444919025252,2.77191226467528,3.22065843089807,4.02395114834158,4.43103097599084
"2",0.1,2.80666990941918,3.09032305222357,3.84759133250441,4.44898450679474,5.11696671742414,6.20398809645999,6.70953565392134
"3",0.2,3.35217677172824,3.71877387330556,4.66569159354941,5.38775533409061,6.16228577281155,7.36874870854968,7.90974140935704
"4",0.3,3.75418415814404,4.18752431204351,5.27794393907438,6.08469325092864,6.92938485643134,8.20806342100665,8.76843876417207
"5",0.4,4.06574064313785,4.55076029934826,5.74682338922771,6.61225955639262,7.50316416665606,8.82607946722,9.39717051933316
"6",0.5,4.32238806328649,4.84579764672689,6.1174781246022,7.0231592336367,7.94467748829144,9.29550290242853,9.87287530913717
"7",0.6,4.54771781759743,5.09827300208373,6.42235626577215,7.35539941826437,8.29753057774771,9.66713723777375,10.248838328522
"8",0.7,4.75624480971523,5.32452139567509,6.68293758462598,7.63419935985234,8.59046361949719,9.97396893864232,10.5594418387771
"9",0.8,4.95749576055918,5.53579409972499,6.91462152820452,7.87764701358904,8.84394805114535,10.2392063562028,10.8287693511722
"10",0.9,5.15809051988187,5.74033494937129,7.12908573609321,8.09943242749696,9.0733699740953,10.4801204225653,11.0746918922157
"11",1,5.36292162568141,5.94451938641942,7.33556305946664,8.31033181343434,9.2907554104914,10.710105330201,11.3110487144877
"12",1.1,5.5743254083404,6.15206073366822,7.54015463193425,8.51755178856753,9.50407745650706,10.9377826354851,11.5466075254983
"13",1.2,5.78959300142174,6.36160663768384,7.74352203609395,8.72234264459156,9.71464300703504,11.1637809387091,11.7814860506089
"14",1.3,6.00573841930753,6.57125068139891,7.94536235558009,8.92482939413043,9.92252783682324,11.3873928585124,12.0144285670312
"15",1.4,6.22046590840612,6.77949064374386,8.14541169540332,9.12510171925577,10.1277913543458,11.6080210141908,12.244362717013
"16",1.5,6.43203009849737,6.9851514170728,8.34344094729974,9.32322361087824,10.3304823789247,11.8251549652637,12.470356577612
"17",1.6,6.63910038622935,7.1873101581587,8.53925046283017,9.51924003517422,10.5306429313179,12.0383585498108,12.6915969177596
"18",1.7,6.84064342120607,7.38523028152469,8.73266454803129,9.71318165619658,10.7283107111688,12.2472633889526,12.9073803342357
"19",1.8,7.03582660174551,7.57830598830796,8.92352622727958,9.90506825100895,10.9235206828405,12.4515658991043,13.117111946265
"20",1.9,7.22395738456332,7.7660292194453,9.11169841728446,10.0949157981832,11.1163121158342,12.6510396130339,13.320326641124
"21",2,7.40521282221767,7.94854234356165,9.29733928608422,10.2829534805459,11.3070132182913,12.8461659198127,13.5175621352442
"22",2.1,7.58081841271697,8.12678083507523,9.48098654280829,10.4696944903741,11.4963262179561,13.0383004555466,13.7105853150215
"23",2.2,7.75189134727505,8.30161035089799,9.66315256622581,10.6556275735961,11.6849140390616,13.2287269453272,13.9010786376164
"24",2.3,7.91939477834033,8.47378630173969,9.84429974235253,10.8411983255525,11.8733762881186,13.4185933517067,14.0905443149779
"25",2.4,8.08417431547319,8.64397696328222,10.0248476050086,11.0268149030575,12.0622580087619,13.6089264261787,14.2803197561209
