"","Age","0.02","0.05","0.25","0.5","0.75","0.95","0.98"
"1",0,38.9641140446524,40.6641928623119,44.7976897869465,47.7511757571582,50.7690589045413,55.2213193376743,57.1357719197848
"2",0.1,45.0780025213047,46.8419855444156,51.1700017157027,54.2962717843369,57.5195414099237,62.3274063110371,64.41381858778
"3",0.2,48.374514005354,50.1567228530935,54.5536072945052,57.7510135343086,61.0663819905251,66.0468160341272,68.221135172171
"4",0.3,50.9417699695329,52.7282716887622,57.1577783405711,60.3987741768643,63.7771068574529,68.8861718067364,71.1294491495462
"5",0.4,53.0673660214147,54.851629566189,59.295201293625,62.5644759614077,65.9886732951153,71.1991346231737,73.4991689583656
"6",0.5,54.8800683842377,56.6596079273637,61.1078868513573,64.3959686909899,67.8540866770131,73.1444890022614,75.4907903818979
"7",0.6,56.4507399676683,58.2251217492328,62.6735859578861,65.9741625445892,69.4570568416235,74.8089312541298,77.1917532305221
"8",0.7,57.8240593663506,59.5940124117392,64.0409929855565,67.3496845033866,70.8499485624363,76.2466320831411,78.6566094766654
"9",0.8,59.0308829186071,60.7978462689646,65.243486447879,68.557191094413,72.0685999391464,77.4946858842468,79.9227159477918
"10",0.9,60.1022814221897,61.8679596980425,66.3133636392335,69.6299098107874,73.1473557715788,78.5892772804507,81.0270692394554
"11",1,61.073580675399,62.8395896915632,67.2861730340585,70.6040995304309,74.123646770925,79.5704271051898,82.011128440399
"12",1.1,61.9734535603052,63.741317569988,68.1906706337035,71.5090258691557,75.0276310992621,80.4703755565521,82.9083359206334
"13",1.2,62.8250593646075,64.5962262856902,69.050044590153,72.3682466132994,75.8835431293665,81.3150028012461,83.7455514900374
"14",1.3,63.6474958422852,65.4233466038215,69.883380808568,73.2011183929745,76.7112621315885,82.1255161226811,84.5447958747904
"15",1.4,64.456787576255,66.2386411661935,70.7066584181273,74.0238183149549,77.5273742436595,82.9195901477079,85.3244284331203
"16",1.5,65.2665820226435,67.055697246576,71.5334492839416,74.8500606627569,78.3459162489789,83.7121639922971,86.0999701128813
