"","Height","0.02","0.05","0.25","0.5","0.75","0.95","0.98"
"1",45,2.04509001081242,2.24468296161179,2.789796356117,3.235566969096,3.74402473977702,4.60105266960308,5.01192466024654
"2",45.1,2.0560099387687,2.25603448506174,2.80259257433903,3.2498545268548,3.76036360573496,4.62168731986899,5.03498278244467
"3",45.2,2.06695419151545,2.26741942320667,2.81543938092698,3.26419905130307,3.77675948111881,4.64236516190647,5.05807272141847
"4",45.3,2.07792273579976,2.27883785960036,2.82833712194554,3.27860097462244,3.79321267557487,4.66308559446934,5.08119307171691
"5",45.4,2.08891553344005,2.29028987588082,2.84128614609744,3.29306073250763,3.80972350059377,4.68384800684135,5.10434240743631
"6",45.5,2.09993254114318,2.30177555166253,2.85428680472736,3.30757876418116,3.82629226953249,4.70465177917683,5.12751928298109
"7",45.6,2.11097371031515,2.3132949644248,2.86733945182527,3.32215551240751,3.84291929763673,4.7254962828608,5.15072223387104
"8",45.7,2.12203898686573,2.3248481893972,2.88044444403018,3.33679142350833,3.85960490206544,4.74638088089064,5.17394977759791
"9",45.8,2.13312831100604,2.33643529944069,2.89360214063321,3.35148694737679,3.87634940191519,4.76730492827718,5.19720041452855
"10",45.9,2.1442416170393,2.34805636492518,2.90681290358045,3.36624253749227,3.89315311824589,4.78826777246633,5.22047262885674
"11",46,2.15537883314457,2.35971145360325,2.92007709747606,3.38105865093541,3.91001637410808,4.8092687537825,5.24376488960393
"12",46.1,2.16653988115273,2.37140063047941,2.93339508958442,3.3959357484025,3.92693949457001,4.83030720589087,5.26707565166695
"13",46.2,2.17772467631492,2.38312395767537,2.94676724983253,3.41087429422035,3.94392280674671,4.85138245628164,5.2904033569147
"14",46.3,2.1889331270631,2.39488149429098,2.96019395081222,3.42587475636137,3.96096663982999,4.8724938267749,5.31374643533292
"15",46.4,2.20016513476193,2.40667329626029,2.97367556778158,3.44093760645793,3.97807132511872,4.89364063404492,5.3371033062154
"16",46.5,2.2114205934524,2.41849941620326,2.98721247866673,3.45606331981758,3.99523719605115,4.9148221901663,5.36047237940349
"17",46.6,2.22269938958632,2.43035990327237,3.00080506406293,3.4712523754377,4.01246458823752,4.93603780317936,5.3838520565712
"18",46.7,2.23400140175161,2.44225480299435,3.01445370723563,3.48650525602058,4.02975383949428,4.95728677767655,5.40724073255669
"19",46.8,2.24532650038776,2.45418415710637,3.02815879412094,3.50182244798799,4.04710528987861,4.97856841540744,5.43063679673769
"20",46.9,2.2566745474917,2.46614800338732,3.04192071332639,3.51720444149661,4.06451928172529,4.99988201590517,5.45403863445231
"21",47,2.26804539631272,2.47814637548295,3.05573985613064,3.53265173045257,4.08199615968324,5.02122687713015,5.47744462846128
"22",47.1,2.2794388910369,2.49017930272539,3.06961661648337,3.54816481252642,4.09953627075383,5.04260229613397,5.50085316045211
"23",47.2,2.29085486646041,2.50224680994694,3.08355139100496,3.56374418916857,4.11713996433084,5.06400756974174,5.52426261258432
"24",47.3,2.30229314765077,2.5143489172871,3.09754457898548,3.57939036562389,4.13480759224035,5.08544199525178,5.54767136907228
"25",47.4,2.31375354959619,2.5264856399933,3.11159658238334,3.59510385094675,4.15253950878237,5.10690487115304,5.57107781780512
"26",47.5,2.32523587684225,2.53865698821514,3.12570780582418,3.61088515801641,4.17033607077391,5.12839549786018,5.59448035200281
"27",47.6,2.33673992311539,2.5508629667913,3.13987865659876,3.62673480355191,4.18819763759245,5.14991317846395,5.61787737190475
"28",47.7,2.3482654709325,2.56310357502939,3.15410954466066,3.64265330812699,4.20612457122071,5.17145721949758,5.6412672864893
"29",47.8,2.35981229119672,2.57537880647822,3.16840088262402,3.65864119618568,4.22411723629329,5.19302693171878,5.6646485152234
"30",47.9,2.37138014277789,2.58768864869229,3.18275308576031,3.6746989960571,4.24217600014319,5.21462163090512,5.68801948983855
"31",48,2.38296877207764,2.60003308298801,3.19716657199511,3.69082723997058,4.26030123285003,5.23624063866275,5.71137865612958
"32",48.1,2.39457791257865,2.61241208419188,3.21164176190426,3.70702646407119,4.27849330728987,5.25788328324884,5.73472447577764
"33",48.2,2.40620728437673,2.62482562037947,3.22617907871013,3.72329720843483,4.29675259918531,5.27954890040452,5.75805542819187
"34",48.3,2.41785659369549,2.63727365260536,3.24077894827666,3.73964001708324,4.3150794871566,5.30123683419923,5.78137001236331
"35",48.4,2.42952553238252,2.64975613462425,3.25544179910443,3.7560554379996,4.33347435277574,5.32294643788492,5.80466674873797
"36",48.5,2.44121377738695,2.66227301260089,3.27016806232574,3.77254402314365,4.35193758061857,5.34467707475612,5.82794418109637
"37",48.6,2.45292099021661,2.6748242248117,3.28495817169776,3.78910632846702,4.37046955831933,5.3664281190253,5.85120087844054
"38",48.7,2.46464681637485,2.68740970133337,3.2998125635976,3.80574291392852,4.38907067662823,5.38819895669446,5.87443543688802
"39",48.8,2.47639088477452,2.70002936372258,3.31473167701432,3.82245434350955,4.40774132946768,5.40998898644078,5.8976464815603
"40",48.9,2.48815280713119,2.71268312468326,3.32971595354234,3.83924118522946,4.42648191398814,5.43179762050155,5.92083266847602
"41",49,2.49993217733065,2.7253708877212,3.34476583737358,3.85610401116113,4.44529283063058,5.45362428556479,5.94399268643196
"42",49.1,2.51172857077266,2.73809254678737,3.35988177528873,3.87304339744585,4.46417448318338,5.47546842366001,5.96712525887822
"43",49.2,2.52354154368868,2.75084798590759,3.37506421664929,3.89005992430945,4.48312727884485,5.49732949305097,5.99022914577845
"44",49.3,2.5353706324324,2.76363707879839,3.39031361338759,3.90715417607741,4.50215162828442,5.5192069691256,6.01330314545435
"45",49.4,2.54721535274135,2.7764596884693,3.40563041999702,3.92432674119016,4.52124794570595,5.54110034528647,6.03634609640832
"46",49.5,2.55907519947392,2.7893156667876,3.42101509246582,3.94157821078311,4.54041664757176,5.56300913396128,6.05935688053489
"47",49.6,2.57094974278061,2.80220485040772,3.4364678873742,3.95890890544546,4.55965789797252,5.58493289192225,6.08233469400969
"48",49.7,2.58283875014019,2.81512705991736,3.45198862089944,3.97631854681693,4.57897130362282,5.6068712542098,6.10527937665078
"49",49.8,2.59474201106367,2.82808211127263,3.46757704749572,3.99380677192489,4.59835639450441,5.6288238925257,6.1281909102514
"50",49.9,2.60665931031741,2.84106981750435,3.48323291757186,4.01137321152241,4.61781269699444,5.65079050807095,6.15106934043563
"51",50,2.61859042839658,2.85408998902702,3.49895597751483,4.02901749006002,4.63733973385007,5.67277083097547,6.17391477514321
"52",50.1,2.63053514200448,2.86714243395224,3.51474596971315,4.04673922565753,4.65693702419086,5.69476461969517,6.19672738304349
"53",50.2,2.6424932245383,2.88022695840603,3.53060263258079,4.06453803007576,4.67660408347969,5.71677166037857,6.21950739188247
"54",50.3,2.65446444658182,2.89334336685072,3.54652570058095,4.08241350868813,4.69634042350173,5.73879176620361,6.24225508676933
"55",50.4,2.66644857640558,2.90649146241153,3.5625149042503,4.1003652604522,4.71614555234177,5.76082477668822,6.26497080840686
"56",50.5,2.67844538047517,2.91967104720801,3.57856997022339,4.11839287788147,4.73601897436027,5.78287055697519,6.28765495127231
"57",50.6,2.69045462396793,2.93288192269084,3.59469062125741,4.13649594701711,4.75596019016759,5.80492899709446,6.31030796175353
"58",50.7,2.70247607129847,2.94612388998337,3.61087657625652,4.154674047399,4.77596869659593,5.82700001120256,6.33293033624411
"59",50.8,2.71450948665395,2.95939675022922,3.62712755029705,4.17292675203758,4.79604398667081,5.84908353680399,6.35552261920622
"60",50.9,2.72655463453916,2.97270030494533,3.6434432546524,4.19125362738518,4.81618554958016,5.87117953395414,6.37808540120296
